ref_area,indicator,source,classif1,time,obs_value,obs_status
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_02,2005,3.3062,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_03,2005,4.1926,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_04,2005,5.0614,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_05,2005,6.108,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_06,2005,7.1165,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_07,2005,8.5224,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_08,2005,10.3966,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_09,2005,14.2002,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_10,2005,39.2979,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_01,2006,1.8082,I
