"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,20918.7000279486,,
"GBR","United Kingdom","EXR","In 2019 constant prices at 2019 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,21544.5883246431,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.512387382645776,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,0.516022573220981,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,0.515812208752755,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,0.513675556103805,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,0.516154610420657,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,0.517993123159848,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,0.517607641534819,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,0.5121168797668,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,0.508833935988027,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,0.512223376608026,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,0.515684702672994,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,0.516493953357325,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,0.518741962357467,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,0.518137143683565,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.528665405749467,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.546375911711998,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.564627697194638,,
"MEX","Mexico","EXR","In 2019 constant prices at 2019 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,0.594207329218776,,
